,Date,FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Metro_status
278,10/22/2021,55029,Door County,WI,71.2,Non-metro
279,10/22/2021,47023,Chester County,TN,31.8,Metro
280,10/22/2021,40065,Jackson County,OK,46.6,Non-metro
281,10/22/2021,48175,Goliad County,TX,38.2,Metro
282,10/22/2021,42037,Columbia County,PA,57.1,Metro
283,10/22/2021,18179,Wells County,IN,38.4,Metro
284,10/22/2021,21021,Boyle County,KY,55.4,Non-metro
285,10/22/2021,55047,Green Lake County,WI,49.9,Non-metro
286,10/22/2021,2100,Haines Borough,AK,63.9,Non-metro
287,10/22/2021,6059,Orange County,CA,62.7,Metro
289,10/22/2021,16017,Bonner County,ID,36.7,Non-metro
290,10/22/2021,21219,Todd County,KY,36.7,Non-metro
291,10/22/2021,29147,Nodaway County,MO,44.1,Non-metro
292,10/22/2021,22057,Lafourche Parish,LA,39.8,Metro
293,10/22/2021,38043,Kidder County,ND,29.2,Non-metro
294,10/22/2021,13271,Telfair County,GA,17.9,Non-metro
295,10/22/2021,17123,Marshall County,IL,46.8,Metro
296,10/22/2021,39023,Clark County,OH,46.3,Metro
297,10/22/2021,55113,Sawyer County,WI,53.4,Non-metro
298,10/22/2021,42073,Lawrence County,PA,49.5,Non-metro
299,10/22/2021,17057,Fulton County,IL,44.7,Non-metro
300,10/22/2021,17005,Bond County,IL,45.0,Metro
301,10/22/2021,51067,Franklin County,VA,40.2,Metro
302,10/22/2021,53013,Columbia County,WA,42.6,Metro
303,10/22/2021,19057,Des Moines County,IA,46.1,Non-metro
304,10/22/2021,46111,Sanborn County,SD,48.6,Non-metro
305,10/22/2021,32023,Nye County,NV,41.0,Non-metro
306,10/22/2021,2020,Anchorage Municipality,AK,55.7,Metro
307,10/22/2021,20179,Sheridan County,KS,32.6,Non-metro
308,10/22/2021,55135,Waupaca County,WI,48.6,Non-metro
309,10/22/2021,31145,Red Willow County,NE,33.1,Non-metro
310,10/22/2021,18117,Orange County,IN,50.9,Non-metro
311,10/22/2021,21027,Breckinridge County,KY,39.3,Non-metro
312,10/22/2021,21085,Grayson County,KY,45.4,Non-metro
313,10/22/2021,40015,Caddo County,OK,56.7,Non-metro
314,10/22/2021,16065,Madison County,ID,42.7,Non-metro
315,10/22/2021,45091,York County,SC,41.7,Metro
316,10/22/2021,6099,Stanislaus County,CA,49.4,Metro
317,10/22/2021,4017,Navajo County,AZ,61.8,Non-metro
318,10/22/2021,37193,Wilkes County,NC,41.5,Non-metro
319,10/22/2021,39175,Wyandot County,OH,42.6,Non-metro
320,10/22/2021,20003,Anderson County,KS,38.5,Non-metro
321,10/22/2021,35039,Rio Arriba County,NM,66.3,Non-metro
322,10/22/2021,30083,Richland County,MT,33.8,Non-metro
323,10/22/2021,55137,Waushara County,WI,40.1,Non-metro
