Data As Of,Start Date,End Date,MMWR Year,MMWR Week,Week-Ending Date,Jurisdiction of Occurrence,Urbanization Classification,COVID-19 Deaths,Total Deaths,Footnote
10/20/2021,11/22/2020,11/28/2020,2020,48,11/28/2020,United States,All Counties in the U.S.,15622,73243,
10/20/2021,11/22/2020,11/28/2020,2020,48,11/28/2020,United States,Metropolitan,12637,61130,
10/20/2021,11/22/2020,11/28/2020,2020,48,11/28/2020,United States,Nonmetropolitan,2985,12113,
10/20/2021,11/29/2020,12/05/2020,2020,49,12/05/2020,United States,All Counties in the U.S.,18562,77370,
10/20/2021,11/29/2020,12/05/2020,2020,49,12/05/2020,United States,Metropolitan,15149,64862,
10/20/2021,11/29/2020,12/05/2020,2020,49,12/05/2020,United States,Nonmetropolitan,3413,12508,
10/20/2021,12/06/2020,12/12/2020,2020,50,12/12/2020,United States,All Counties in the U.S.,20922,81949,
10/20/2021,12/06/2020,12/12/2020,2020,50,12/12/2020,United States,Metropolitan,17247,68828,
10/20/2021,12/06/2020,12/12/2020,2020,50,12/12/2020,United States,Nonmetropolitan,3675,13121,
10/20/2021,12/13/2020,12/19/2020,2020,51,12/19/2020,United States,All Counties in the U.S.,22327,82859,
10/20/2021,12/13/2020,12/19/2020,2020,51,12/19/2020,United States,Metropolitan,18878,70122,
10/20/2021,12/13/2020,12/19/2020,2020,51,12/19/2020,United States,Nonmetropolitan,3449,12737,
10/20/2021,12/20/2020,12/26/2020,2020,52,12/26/2020,United States,All Counties in the U.S.,23372,84293,
10/20/2021,12/20/2020,12/26/2020,2020,52,12/26/2020,United States,Metropolitan,20043,71595,
10/20/2021,12/20/2020,12/26/2020,2020,52,12/26/2020,United States,Nonmetropolitan,3329,12698,
10/20/2021,12/27/2020,01/02/2021,2020,53,01/02/2021,United States,All Counties in the U.S.,24854,86934,
10/20/2021,12/27/2020,01/02/2021,2020,53,01/02/2021,United States,Metropolitan,21612,74048,
10/20/2021,12/27/2020,01/02/2021,2020,53,01/02/2021,United States,Nonmetropolitan,3242,12886,
10/20/2021,01/03/2021,01/09/2021,2021,1,01/09/2021,United States,All Counties in the U.S.,25961,86981,
10/20/2021,01/03/2021,01/09/2021,2021,1,01/09/2021,United States,Metropolitan,22761,74479,
10/20/2021,01/03/2021,01/09/2021,2021,1,01/09/2021,United States,Nonmetropolitan,3200,12502,
10/20/2021,01/10/2021,01/16/2021,2021,2,01/16/2021,United States,All Counties in the U.S.,25682,87313,
10/20/2021,01/10/2021,01/16/2021,2021,2,01/16/2021,United States,Metropolitan,22565,75038,
10/20/2021,01/10/2021,01/16/2021,2021,2,01/16/2021,United States,Nonmetropolitan,3117,12275,
10/20/2021,01/17/2021,01/23/2021,2021,3,01/23/2021,United States,All Counties in the U.S.,23647,83546,
10/20/2021,01/17/2021,01/23/2021,2021,3,01/23/2021,United States,Metropolitan,20912,71692,
10/20/2021,01/17/2021,01/23/2021,2021,3,01/23/2021,United States,Nonmetropolitan,2735,11854,
