FIPS,POPESTIMATE2020,Case_Count,% Pop Cases,Total_Vaccines,% Vaccinated
9009,851948,94353,0.11074971711888519,587907,0.6900738073215736
9011,264999,23377,0.08821542722802728,187558,0.7077687085611644
9013,150600,9447,0.06272908366533865,91293,0.6061952191235059
9015,116540,10990,0.09430238544705681,66745,0.5727218122533035
10001,183643,18886,0.1028408379301144,85899,0.4677499278491421
10003,561531,70195,0.1250064555652315,330083,0.587826851945841
10005,241635,28356,0.11735054938233286,138792,0.5743869886398908
12001,271218,23996,0.08847495372725998,160053,0.5901267614981307
12003,29566,3344,0.11310288845295272,9015,0.3049110464722993
12005,171322,13737,0.08018234669219365,77951,0.4549970231493912
12007,28593,3490,0.12205784632602386,10690,0.3738677298639527
12009,608459,27861,0.04578944513927808,343609,0.5647200550899897
12011,1958105,243909,0.12456380020478984,1225967,0.6260987025721297
12015,194711,10270,0.05274483722029059,111723,0.573788846033352
12017,153010,10571,0.06908698777857657,77386,0.5057577936082609
12019,221770,17824,0.08037155611669748,95609,0.43111782477341387
12021,392973,28396,0.07225941731365768,244934,0.6232845513559456
12023,72654,8046,0.11074407465521513,26985,0.37141795358824015
12027,38520,4284,0.11121495327102804,15355,0.3986240913811007
12031,966728,91010,0.09414230269527726,514363,0.5320658965086353
12033,322364,30258,0.09386283828219032,151343,0.4694786018289884
12035,118451,5982,0.05050189529847785,65869,0.5560864830182944
12039,45277,5007,0.11058594871568346,23884,0.5275084479978798
12049,26822,3220,0.1200507046454403,9993,0.372567295503691
12051,42813,4001,0.09345292317753953,17622,0.4116039520706328
12053,198792,15843,0.07969636605094772,94810,0.4769306611936094
12055,106639,7416,0.06954303772541003,48767,0.4573092395840171
12057,1497957,117307,0.07831132669362338,791423,0.5283349255018669
12061,162518,11396,0.07012146346866194,96731,0.5952017622663336
12063,46085,5956,0.12923944884452643,17242,0.37413475100358035
12069,375492,25808,0.06873115805396653,218715,0.5824757917612093
12071,790767,57142,0.07226148789719349,429473,0.5431094114954216
12073,295460,22907,0.07752995329316997,149364,0.5055303594395181
12075,42214,3232,0.07656227791727863,17376,0.4116169990998247
12081,411219,32341,0.07864665786357147,221872,0.539547054002855
12083,373513,32115,0.0859809430997047,187359,0.501613062999146
12085,162088,12809,0.07902497408814965,92756,0.5722570455555007
12086,2707303,491834,0.18166935876774784,2027846,0.7490280917946753
12087,73900,6078,0.08224627875507443,51450,0.696211096075778
12089,91113,6809,0.07473137752022214,46146,0.5064699878173258
12091,212820,15346,0.07210788459731228,108393,0.5093177332957429
12093,42297,3881,0.09175591649525972,17590,0.4158687377355368
12095,1404396,106768,0.07602414133905251,847089,0.6031696188254595
12097,385315,35112,0.09112544281951131,237004,0.615091548473327
12099,1507600,137405,0.09114154948262139,890996,0.5910029185460335
12101,570412,38196,0.06696212562148061,287601,0.5041987195220297
12103,976802,67016,0.06860755813358285,570893,0.5844510965374764
12105,744552,47375,0.06362886675477333,361755,0.48586935499468137
12107,74815,6954,0.09294927487803248,26762,0.3577090155717436
12109,278715,19034,0.06829198284986455,165991,0.595558186678148
12111,337186,28682,0.08506284365305795,169723,0.5033512660667999
12113,189139,13946,0.07373413204045702,81775,0.4323539830495033
12115,443465,25436,0.05735740137327636,276146,0.6227007768369545
