State,County Name,Urban Rural Code,FIPS,Total deaths,COVID-19 Deaths,Urban Rural Description,Pct_Deaths_by_Covid,Covid_Death_Pct_Above_Median
AR,Craighead County,4,5031,4363,776,Small metro,17.785927114370846,1
AR,Faulkner County,3,5045,2223,313,Medium metro,14.080071974808817,1
AR,Garland County,4,5051,3712,553,Small metro,14.89762931034483,1
AR,Independence County,5,5063,1184,230,Micropolitan,19.425675675675674,1
AR,Jefferson County,4,5069,1709,233,Small metro,13.6337039204213,1
AR,Pope County,5,5115,1286,112,Micropolitan,8.709175738724728,0
AR,Pulaski County,3,5119,13219,1759,Medium metro,13.306604130418338,1
AR,Saline County,3,5125,1890,190,Medium metro,10.052910052910052,0
AR,Sebastian County,3,5131,4606,708,Medium metro,15.371254884932698,1
AR,Union County,5,5139,1048,121,Micropolitan,11.545801526717558,0
AR,Washington County,3,5143,4712,632,Medium metro,13.412563667232597,1
AR,White County,5,5145,1951,239,Micropolitan,12.250128139415684,1
AZ,Apache County,6,4001,1054,129,Noncore,12.23908918406072,1
AZ,Cochise County,4,4003,2113,148,Small metro,7.004259346900142,0
AZ,Coconino County,4,4005,2352,302,Small metro,12.84013605442177,1
AZ,Gila County,5,4007,1357,136,Micropolitan,10.022107590272661,0
AZ,Maricopa County,1,4013,81663,11960,Large central metro,14.645555514737396,1
AZ,Mohave County,4,4015,6877,795,Small metro,11.560273375018177,0
AZ,Navajo County,5,4017,2056,222,Micropolitan,10.797665369649806,0
AZ,Pima County,3,4019,23801,3042,Medium metro,12.780975589260956,1
AZ,Pinal County,2,4021,5181,424,Large fringe metro,8.183748311136846,0
AZ,Yavapai County,4,4025,6193,545,Small metro,8.800258356208621,0
AZ,Yuma County,4,4027,3964,787,Small metro,19.853683148335016,1
CA,Alameda County,1,6001,20262,1647,Large central metro,8.128516434705361,0
CA,Butte County,4,6007,4391,400,Small metro,9.109542245502164,0
CA,Contra Costa County,2,6013,15145,972,Large fringe metro,6.417959722680752,0
CA,El Dorado County,2,6017,2674,143,Large fringe metro,5.347793567688855,0
CA,Fresno County,3,6019,16337,2146,Medium metro,13.135826651159944,1
CA,Humboldt County,5,6023,2418,102,Micropolitan,4.218362282878412,0
CA,Imperial County,4,6025,2509,610,Small metro,24.312475089677164,1
CA,Kern County,3,6029,13247,1679,Medium metro,12.674567826677738,1
CA,Kings County,4,6031,1981,401,Small metro,20.242301867743564,1
CA,Los Angeles County,1,6037,146639,24768,Large central metro,16.89045888201638,1
CA,Madera County,4,6039,1864,257,Small metro,13.78755364806867,1
CA,Marin County,2,6041,3820,220,Large fringe metro,5.7591623036649215,0
CA,Merced County,3,6047,3009,372,Medium metro,12.362911266201396,1
CA,Monterey County,3,6053,5342,605,Medium metro,11.325346312242605,0
CA,Napa County,4,6055,2326,114,Small metro,4.901117798796217,0
CA,Nevada County,5,6057,1892,111,Micropolitan,5.866807610993657,0
CA,Orange County,1,6059,44802,6449,Large central metro,14.394446676487657,1
