Urban Rural Code,Population Estimate 2020,Total Vaccines,Percent Vaccinated,Case Count,Percent of Population Cases,Total deaths,Covid Death Percent Above Median
5.0,91776.0,36446.0,39.71190725244072,10139.0,11.047550557880047,2126.0,1.0
2.0,402950.0,233731.0,58.00496339496215,36092.0,8.95694254870331,7722.0,0.0
3.0,227346.0,126069.0,55.45248211976459,25436.0,11.18823291370862,5390.0,1.0
2.0,173359.0,33229.0,19.16773862331924,18249.0,10.52671046787302,1535.0,1.0
5.0,42297.0,17590.0,41.58687377355368,3881.0,9.17559164952597,876.0,1.0
3.0,561497.0,297343.0,52.95540314551992,34174.0,6.08623020247659,15520.0,0.0
1.0,2489188.0,1239374.0,49.79029305942339,356093.0,14.30558881048759,37638.0,1.0
1.0,705925.0,342444.0,48.50996918936147,10574.0,1.49789283564118,15842.0,0.0
3.0,208801.0,97732.0,46.80628924190976,2991.0,1.43246440390611,5078.0,1.0
3.0,463986.0,266752.0,57.49138982641717,61764.0,13.31160853991284,10355.0,1.0
3.0,1061175.0,616936.0,58.13706504582184,131559.0,12.39748392112516,23801.0,1.0
2.0,328200.0,242164.0,73.78549664838513,17413.0,5.30560633759902,3342.0,0.0
2.0,480828.0,211313.0,43.94773182926119,66146.0,13.75668638265658,5181.0,0.0
3.0,77558.0,37800.0,48.73771886845973,11363.0,14.65097088630444,2309.0,0.0
5.0,58351.0,27806.0,47.65299652105362,6484.0,11.11206320371544,1114.0,0.0
4.0,161496.0,88309.0,54.68184970525586,18392.0,11.38851736265913,2119.0,0.0
5.0,51118.0,36044.0,70.51136585938417,4050.0,7.92284518173637,1152.0,0.0
3.0,262658.0,128890.0,49.07141606195128,35565.0,13.54042138446192,3954.0,0.0
1.0,9943046.0,6131044.0,61.66162763402684,1429615.0,14.37803868150665,146639.0,1.0
5.0,43274.0,16170.0,37.36654804270463,6503.0,15.02749919120025,959.0,1.0
2.0,113295.0,19475.0,17.18963767156538,12480.0,11.01549053356282,1555.0,1.0
4.0,183643.0,85899.0,46.77499278491421,18886.0,10.28408379301144,3710.0,0.0
4.0,61028.0,25431.0,41.67103624565773,4223.0,6.91977452972406,1116.0,1.0
5.0,26527.0,9468.0,35.691936517510456,1841.0,6.9400987672937,1125.0,1.0
4.0,82732.0,35453.0,42.85282599236087,13488.0,16.30324421022095,2234.0,1.0
3.0,53695.0,27882.0,51.92662259055778,6004.0,11.181674271347418,1392.0,0.0
5.0,58418.0,20576.0,35.22202061008593,9653.0,16.5240165702352,917.0,1.0
2.0,161657.0,122741.0,75.92680799470483,13241.0,8.19079903746822,2684.0,1.0
2.0,385234.0,223258.0,57.95386700031669,57400.0,14.900034784053329,5791.0,1.0
2.0,153192.0,74653.0,48.73165700558776,20871.0,13.624079586401368,1416.0,0.0
3.0,494281.0,290082.0,58.6876695644785,67884.0,13.73388821338469,9682.0,0.0
4.0,240226.0,94551.0,39.35918676579554,24888.0,10.36024410346923,6193.0,0.0
5.0,94265.0,42733.0,45.33283827507558,9289.0,9.8541346204848,1629.0,0.0
2.0,192925.0,107434.0,55.68692497084359,15809.0,8.194376052870279,2674.0,0.0
1.0,5108284.0,2913284.0,57.03058013219312,612974.0,11.9996069130064,87249.0,1.0
1.0,1497957.0,791423.0,52.83349255018669,117307.0,7.83113266936233,25733.0,0.0
3.0,532486.0,252543.0,47.42716240426978,94179.0,17.68666218454569,11135.0,1.0
1.0,547903.0,337923.0,61.67569807064389,58337.0,10.64732261002403,10492.0,1.0
5.0,46064.0,22185.0,48.16125390760681,5844.0,12.6866967697117,1163.0,1.0
3.0,97075.0,41983.0,43.248004120525366,17930.0,18.47025495750708,641.0,1.0
4.0,203943.0,100619.0,49.33682450488617,25067.0,12.29117939816517,1767.0,0.0
5.0,54656.0,26104.0,47.76053864168618,7854.0,14.36987704918032,1281.0,1.0
2.0,758308.0,556016.0,73.32324068848014,51906.0,6.84497592007469,8841.0,0.0
2.0,79553.0,47958.0,60.28433874272498,11591.0,14.57016077332093,1237.0,0.0
5.0,67610.0,30081.0,44.49193906226889,12134.0,17.947049253069068,1995.0,1.0
2.0,129681.0,61443.0,47.38010965368867,16672.0,12.856162429345847,2862.0,1.0
5.0,40372.0,18039.0,44.68195779252947,4280.0,10.60140691568413,981.0,1.0
5.0,33400.0,15140.0,45.32934131736527,4875.0,14.59580838323353,732.0,1.0
2.0,150600.0,91293.0,60.61952191235059,9447.0,6.272908366533859,1344.0,0.0
2.0,311307.0,184357.0,59.22031949169149,21475.0,6.898335084016741,4325.0,0.0
3.0,230298.0,162648.0,70.6250162832504,14908.0,6.473351917949779,2871.0,0.0
4.0,171322.0,77951.0,45.49970231493912,13737.0,8.01823466921936,4389.0,1.0
2.0,180912.0,102545.0,56.68225435570885,18923.0,10.45978155125143,2464.0,0.0
1.0,1227883.0,704291.0,57.35815220179773,129632.0,10.55735766355589,32375.0,0.0
2.0,2189183.0,1059142.0,48.38069727382316,345933.0,15.80192245234866,34964.0,1.0
4.0,152737.0,36188.0,23.69301479012943,16957.0,11.10209052161558,5865.0,1.0
2.0,164646.0,115384.0,70.08005053265795,19586.0,11.89582498208277,2998.0,0.0
4.0,194711.0,111723.0,57.3788846033352,10270.0,5.27448372202905,5891.0,0.0
4.0,133580.0,62369.0,46.69037281030094,13429.0,10.05315166941158,3042.0,0.0
3.0,158108.0,99833.0,63.14228249044957,13843.0,8.75540769600526,2795.0,0.0
4.0,75009.0,27438.0,36.57961044674639,1034.0,1.37850124651708,3162.0,1.0
3.0,288774.0,127260.0,44.06906438945334,27985.0,9.69096940860326,3930.0,1.0
2.0,693593.0,417384.0,60.17707791168596,77184.0,11.12813998987879,10291.0,0.0
4.0,196115.0,102668.0,52.35091655406266,25403.0,12.95311424419346,3094.0,1.0
3.0,272787.0,156433.0,57.34620784714814,13716.0,5.02809884635264,3884.0,0.0
4.0,113454.0,50088.0,44.14828917446718,13366.0,11.78098612653586,3026.0,0.0
3.0,127590.0,55350.0,43.38114272278391,15113.0,11.84497217650286,4606.0,1.0
2.0,148130.0,66993.0,45.22581516235739,24983.0,16.86559103490177,2018.0,0.0
3.0,149039.0,78955.0,52.976066667113976,14202.0,9.52904944343426,2226.0,0.0
5.0,29802.0,11934.0,40.04429232937386,3160.0,10.60331521374404,826.0,1.0
5.0,64783.0,29478.0,45.50267817174259,12533.0,19.34612475495114,1957.0,1.0
3.0,475609.0,249981.0,52.5601912495348,70314.0,14.78399273352691,13746.0,0.0
2.0,49824.0,26937.0,54.0643063583815,7225.0,14.501043673731532,820.0,1.0
4.0,106639.0,48767.0,45.73092395840171,7416.0,6.954303772541,3782.0,1.0
2.0,583283.0,402231.0,68.9598359629888,55289.0,9.47893218214828,9493.0,0.0
4.0,160110.0,55097.0,34.41196677284367,16123.0,10.0699519080632,2743.0,1.0
2.0,475533.0,295086.0,62.053737595498106,48977.0,10.29939036828148,3478.0,0.0
4.0,111371.0,57892.0,51.981215935925874,11027.0,9.90114123066148,2425.0,0.0
3.0,404794.0,184207.0,45.50635631951066,35314.0,8.7239435367125,9635.0,0.0
4.0,150568.0,76560.0,50.84745762711864,13904.0,9.2343658679135,2321.0,0.0
2.0,1351334.0,958506.0,70.93035474575493,228311.0,16.895230934765202,25592.0,1.0
5.0,64711.0,22755.0,35.16403702616247,11540.0,17.83313501568512,1285.0,1.0
5.0,57979.0,24759.0,42.70339260766829,6930.0,11.95260352886389,1043.0,0.0
2.0,257332.0,201023.0,78.11815087124803,16940.0,6.5829356628790805,3820.0,0.0
3.0,56145.0,19578.0,34.87042479294683,9287.0,16.54109894024401,956.0,1.0
2.0,54376.0,22737.0,41.81440341327056,9499.0,17.46910401647785,1282.0,1.0
4.0,88053.0,40440.0,45.92688494429491,8266.0,9.38752796611132,2359.0,0.0
2.0,256805.0,160162.0,62.36716574833044,19436.0,7.56838846595666,4067.0,0.0
4.0,114687.0,66711.0,58.16788302074342,8646.0,7.538779460618899,1608.0,0.0
3.0,236613.0,129198.0,54.603086051907546,26381.0,11.14942965940163,5486.0,0.0
5.0,53362.0,20233.0,37.91649488399985,5471.0,10.25261421985682,988.0,0.0
5.0,51582.0,21988.0,42.6272730797565,8354.0,16.195572098794152,1233.0,0.0
6.0,40133.0,13970.0,34.80925921311639,5938.0,14.79580395186006,1066.0,1.0
5.0,79985.0,25913.0,32.39732449834344,10738.0,13.42501719072326,1763.0,0.0
5.0,38730.0,16470.0,42.52517428350116,6373.0,16.4549444874774,924.0,1.0
6.0,44004.0,7191.0,16.3416962094355,3071.0,6.97891100809017,667.0,1.0
4.0,183904.0,92904.0,50.51766138855055,5075.0,2.75959196102314,4171.0,1.0
1.0,1401142.0,844892.0,60.30024080357309,201898.0,14.40953165346553,26736.0,1.0
3.0,155358.0,99581.0,64.09776129970777,15655.0,10.07672601346567,3094.0,0.0
4.0,82622.0,43859.0,53.08392437849483,9191.0,11.12415579385635,1862.0,0.0
4.0,217824.0,123253.0,56.583755692669314,40162.0,18.437821360364328,3964.0,1.0
2.0,607220.0,391710.0,64.5087447712526,72476.0,11.9357069925233,8697.0,0.0
4.0,102387.0,53734.0,52.48127203648901,9883.0,9.652592614296733,2924.0,1.0
5.0,44300.0,18241.0,41.17607223476298,5221.0,11.78555304740406,1186.0,1.0
2.0,150849.0,40484.0,26.83743345995001,14638.0,9.70374347857791,2287.0,1.0
3.0,241635.0,138792.0,57.43869886398908,28356.0,11.73505493823328,5023.0,0.0
1.0,817985.0,451654.0,55.215437935903466,92456.0,11.302896752385433,20163.0,0.0
3.0,108545.0,55425.0,51.06177161545903,11059.0,10.1884011239578,2632.0,0.0
1.0,740900.0,477144.0,64.40059387231744,77400.0,10.4467539479012,16097.0,0.0
3.0,71478.0,21249.0,29.7280282044825,2807.0,3.92708245893841,1064.0,0.0
2.0,566765.0,322444.0,56.89200991592636,78343.0,13.82283662540912,9895.0,1.0
2.0,208396.0,124277.0,59.63502178544694,21100.0,10.12495441371235,4132.0,0.0
4.0,177716.0,114494.0,64.42526277881564,17661.0,9.937765873641087,2628.0,0.0
2.0,913890.0,502888.0,55.02719145630218,78171.0,8.55365525391458,14377.0,0.0
2.0,1958105.0,1225967.0,62.609870257212975,243909.0,12.45638002047898,32724.0,1.0
4.0,66509.0,28600.0,43.001699018178,10871.0,16.34515629463681,1263.0,1.0
2.0,62451.0,29750.0,47.63734768058157,7222.0,11.56426638484571,1246.0,0.0
3.0,851948.0,587907.0,69.00738073215736,94353.0,11.074971711888509,16920.0,1.0
